route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
53,E40H/Enviro400H MMC,ADL Enviro400H | ADL Enviro400H MMC,4,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,4
533,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,2,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,double,2
54,E40D/Enviro400 MMC,ADL Enviro400 | ADL Enviro400 MMC,4,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,4
55,New Bus for London,,0,,New Bus for London,hybrid,double,0
56,E40H/Enviro400H,ADL Enviro400H | ADL Enviro400H City,2,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,2
57,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,7,BYD,DD/Enviro400EV City,electric,double,7
58,BZL (dd)/MCV,Volvo BZL DD,5,VOLVO,BZL (dd)/MCV,electric,double,5
59,New Bus for London,,0,,New Bus for London,hybrid,double,0
6,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3,3,,B5LH/Gemini 3,hybrid,double,3
60,BYD B11E02 10.9m,BYD BD11 | VDL DB300 Wright Gemini 2,4,BYD,BYD B11E02 10.9m,electric,double,4
601,E40H/Enviro400H MMC,,0,,E40H/Enviro400H MMC,hybrid,double,0
602,E40D/Enviro400,,0,,E40D/Enviro400,diesel,double,0
603,,,0,,,,,0
606,Streetdeck Electroliner 10.5m,,0,,Streetdeck Electroliner 10.5m,electric,double,0
608,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
61,Trident/Enviro400,,0,,Trident/Enviro400,diesel,double,0
612,Streetdeck Electroliner 10.5m,,0,,Streetdeck Electroliner 10.5m,electric,double,0
613,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
616,?,,0,,?,diesel,,0
617,?,,0,,?,diesel,,0
618,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
62,E40D/Enviro400 MMC,ADL Enviro400 MMC,1,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,1
621,E40D/Enviro400H MMC,,0,,E40D/Enviro400H MMC,hybrid,double,0
624,B9TL/Gemini 2,,0,,B9TL/Gemini 2,diesel,double,0
625,B9TL/Gemini 2,,0,,B9TL/Gemini 2,diesel,double,0
626,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
627,?,,0,,?,diesel,,0
628,?,,0,,?,diesel,,0
629,?,,0,,?,diesel,,0
63,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV | Wright StreetDeck Electroliner,2,,DD/Enviro400EV City,electric,double,2
631,Solo SR 7.9m,,0,,Solo SR 7.9m,diesel,single,0
632,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
633,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
634,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
635,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
638,Trident/Enviro400,,0,,Trident/Enviro400,diesel,double,0
639,E40H/Enviro400H,,0,,E40H/Enviro400H,hybrid,double,0
64,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,3,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,3
640,B5LH/Gemini 3,,0,,B5LH/Gemini 3,hybrid,double,0
642,DD/Enviro400EV City,,0,,DD/Enviro400EV City,electric,double,0
643,?,,0,,?,diesel,,0
645,DB300/Gemini 2,,0,,DB300/Gemini 2,diesel,double,0
646,E200Dart/Enviro200,,0,,E200Dart/Enviro200,diesel,double,0
649,?,,0,,?,diesel,,0
65,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV | Volvo B5LH Wright Eclipse Gemini 3,6,,DD/Enviro400EV City,electric,double,6
650,?,,0,,?,diesel,,0
651,?,,0,,?,diesel,,0
