route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
425,regular,BW,Bow,Stagecoach London,,"Clapton, Nightingale Road",Ilford,Kenninghall Road,Hainault Street,"Clapton, Nightingale Road, Kenninghall Road","Ilford, Hainault Street",10.9,11.9,10.9,21,11.3,15.354,9.54
427,regular,GW,Southall,Transport UK,,"Southall, Merrick Road",Uxbridge,Bridge Road,York Road,"Southall, Merrick Road, Bridge Road","Uxbridge, York Road",7.8,8.1,7.9,15,7.9,11.095,6.89
428,regular,DT,Dartford,Arriva,,Bluewater,Erith,Bluewater Shopping Centre,Erith Town Centre / Riverside,Bluewater,Erith,14.9,15,14.9,0,14.9,15.588,9.69
43,twentyfour,HT,Holloway,Metroline,,London Bridge,Friern Barnet,London Bridge Station,Halliwick Park,London Bridge,"Friern Barnet, Halliwick Park",8,8.7,8,29.2,8.1,15.405,9.57
430,regular,AF,Putney,Go-Ahead,,South Kensington,"Roehampton, Danebury Avenue",Victoria & Albert Museum,Minstead Gardens,"South Kensington, Victoria & Albert Museum","Roehampton, Danebury Avenue, Minstead Gardens",13.7,13.5,13.5,0,13.1,10.807,6.72
432,regular,N,Norwood,Arriva,,Anerley Station,Brixton,Jasmine Grove,Brixton Station,"Anerley Station, Jasmine Grove",Brixton,11.9,12,12,0,12,8.022,4.98
433,regular,BC,Beddington,Transport UK,,West Croydon,Addington Village,Park Street,Addington Village Interchange,"West Croydon, Park Street",Addington Village,0,0,0,0,15,10.303,6.4
434,regular,C,Croydon,Go-Ahead,,Caterham,"Coulsdon, Ridgemount Avenue",Caterham Valley,Ridgemount Avenue,Caterham,"Coulsdon, Ridgemount Avenue",29.8,30.4,29.8,0,29.9,15.37,9.55
436,regular,NX,New Cross,Go-Ahead,,Battersea Park Station,"Lewisham, Shopping Centre",,Molesworth Street,Battersea Park Station,"Lewisham, Shopping Centre, Molesworth Street",11.9,12.1,12,0,11.9,11.948,7.42
439,regular,C,Croydon,Go-Ahead,,Whyteleafe South,Waddon Marsh,Wapses Lodge Roundabout,,"Whyteleafe South, Wapses Lodge Roundabout",Waddon Marsh,34,34.3,31.3,0,33,10.76,6.69
44,regular,SW,Stockwell,Go-Ahead,,Tooting Station,Victoria,,Victoria Station,Tooting Station,Victoria,9.6,10.2,9.8,0,9.9,11.996,7.45
440,regular,V,Stamford Brook,First,,"Wembley, First Way","Turnham Green, Church",First Way,,"Wembley, First Way","Turnham Green, Church",14.5,15,14.7,0,15,14.944,9.29
444,regular,NP,Northumberland Park,Go-Ahead,,Chingford Station,Turnpike Lane Station,,Turnpike Lane Bus Station,Chingford Station,"Turnpike Lane Station, Turnpike Lane Bus Station",11.7,12.2,11.8,0,12,12.475,7.75
45,regular,WL,Walworth,Transport UK,,Morden,Camberwell Green,Morden Station,Denmark Hill / Camberwell Green,Morden,Camberwell Green,12.6,13.1,12.8,16,13,15.636,9.72
450,regular,C,Croydon,Go-Ahead,,Lower Sydenham,West Croydon,Bell Green / Sainsbury's,West Croydon Bus Station,"Lower Sydenham, Bell Green / Sainsbury's",West Croydon,10.7,11,10.6,0,10.4,13.518,8.4
452,regular,X,Westbourne Park,First,,Vauxhall,Notting Hill Gate,Vauxhall Bus Station,Notting Hill Gate Station,Vauxhall,Notting Hill Gate,12,11.9,12,0,12,10.575,6.57
453,twentyfour,NX,New Cross,Go-Ahead,,Marylebone,Deptford Bridge,Great Central Street,,"Marylebone, Great Central Street",Deptford Bridge,7.7,8,8,23.8,7.9,13.328,8.28
456,regular,NP,Northumberland Park,Go-Ahead,,North Middlesex Hospital,Crews Hill,,,North Middlesex Hospital,Crews Hill,28,28.6,29.5,0,29.3,15.61,9.7
46,regular,HT,Holloway,Metroline,,"Smithfield, St Bartholomew's Hospital",Paddington,St Bartholomew's Hospital,Paddington Station,"Smithfield, St Bartholomew's Hospital",Paddington,11.5,12.1,11.8,0,12.2,14.687,9.13
460,regular,AC,Willesden,Metroline,,North Finchley,"Willesden, Bus Garage",North Finchley Bus Station,Pound Lane,North Finchley,"Willesden, Bus Garage, Pound Lane",11.6,12.6,11.6,0,12,10.177,6.32
462,regular,BK,Barking,Stagecoach London,,Ilford,Limes Farm Estate,Hainault Street,Limes Farm / Copperfield,"Ilford, Hainault Street","Limes Farm Estate, Limes Farm / Copperfield",14.6,15.9,14.8,0,15.7,13.482,8.38
463,regular,C,Croydon,Go-Ahead,,Pollards Hill,Coulsdon South,,Coulsdon South Station,Pollards Hill,Coulsdon South,18.5,20.5,18.9,0,20,21.242,13.2
464,regular,BC,Beddington,Transport UK,,New Addington,Tatsfield,New Addington Tram Stop,Tatsfield Village / Old Ship,New Addington,Tatsfield,0,0,0,0,30,9.88,6.14
465,regular,TF,Fulwell (Twickenham),Transport UK,,Dorking,Kingston,South Street / Rose Hill,Cromwell Road Bus Station,"Dorking, South Street / Rose Hill","Kingston, Cromwell Road Bus Station",32.5,35,32.5,0,35,26.729,16.61
466,regular,TC,Croydon,Arriva,,Caterham-on-the-Hill,Addington Village,Westway,Addington Village Interchange,"Caterham-on-the-Hill, Westway",Addington Village,0,0,0,0,11.9,19.139,11.89
467,regular,TV,Tolworth,First,,Epsom,Hook or Hinchley Wood School,Epsom Hospital,Hinchley Wood School,Epsom,Hook or Hinchley Wood School,0,0,0,0,0,12.257,7.62
468,regular,N,Norwood,Arriva,,Elephant & Castle,"South Croydon, South End",Borough Road,Warham Road / Brighton Road,"Elephant & Castle, Borough Road","South Croydon, South End, Warham Road / Brighton Road",8.2,9.1,9,0,10,17.873,11.11
469,regular,MG,Morden Wharf (Greenwich),Go-Ahead,,Erith,Queen Elizabeth Hospital,Erith Town Centre / Riverside,Queen Elizabeth Hospital / West Entrance,Erith,Queen Elizabeth Hospital,14.7,15,14.7,0,14.9,16.616,10.32
47,twentyfour,TL,Catford,Stagecoach London,,Shoreditch,"Bellingham, Catford Bus Garage",,Catford Garage,Shoreditch,"Bellingham, Catford Bus Garage, Catford Garage",12.2,12.2,12,25,12,15.833,9.84
470,regular,GM,Ellis Road,Go-Ahead,,Sutton Station,Colliers Wood,,Colliers Wood Station,Sutton Station,Colliers Wood,29.8,30.4,29.5,0,29.8,10.282,6.39
473,regular,DS,Henley Road,Go-Ahead,,Stratford,North Woolwich,Stratford Bus Station,North Woolwich Ferry,Stratford,North Woolwich,10.6,11,10.9,15,10.9,9.403,5.84
474,twentyfour,DS,Henley Road,Go-Ahead,,Manor Park,"Canning Town, Hermit Road",Manor Park Station,Hermit Road,Manor Park,"Canning Town, Hermit Road",11.5,12,11.7,24.2,11.8,15.408,9.57
476,regular,NP,Northumberland Park,Go-Ahead,,King's Cross,Northumberland Park,King's Cross Station / York Way,,King's Cross,Northumberland Park,9.4,10,9.9,0,10,12.214,7.59
481,regular,AH,Brentford,Metroline,,West Middlesex Hospital,Kingston,West London Mental Health Trust,Cromwell Road Bus Station,"West Middlesex Hospital, West London Mental Health Trust","Kingston, Cromwell Road Bus Station",0,0,0,0,31.1,13.703,8.51
481D,regular,,,,,,,,,,,,,,,,7.447,4.63
482,regular,GW,Southall,Transport UK,,Heathrow Terminal 5,"Southall, Town Hall",,,Heathrow Terminal 5,"Southall, Town Hall",19.5,20,19.6,20,19.8,18.442,11.46
483,regular,PV,Perivale [East],Metroline,,Harrow,Windmill Park,Harrow Bus Station,Windmill Lane / Three Bridges,Harrow,"Windmill Park, Windmill Lane / Three Bridges",0,0,0,0,11,16.73,10.4
484,regular,Q,Camberwell,Go-Ahead,,Camberwell Green,Lewisham Station,Denmark Hill / Camberwell Green,,Camberwell Green,Lewisham Station,11.6,11.9,11.9,0,12.1,10.697,6.65
485,regular,QB,Battersea,Transport UK,,Wandsworth,"Castelnau, Lonsdale Road",Ram Street,Lonsdale Road,"Wandsworth, Ram Street","Castelnau, Lonsdale Road",31.4,29.8,28.5,0,29.9,15.709,9.76
486,twentyfour,BX,Bexleyheath,Go-Ahead,,"Bexleyheath, Shopping Centre",North Greenwich,Friswell Place,North Greenwich Station,"Bexleyheath, Shopping Centre, Friswell Place",North Greenwich,11.6,11.9,11.8,24.8,11.9,14.692,9.13
487,regular,WJ,Willesden Junction,Metroline,,Willesden Junction,South Harrow,Willesden Junction Station,South Harrow Bus Station,Willesden Junction,South Harrow,13,13.1,13,0,13.3,13.727,8.53
488,regular,HO,Lea Interchange,Stagecoach London,,Dalston Junction,"Bromley-by-Bow, Tesco",Forest Road,Hancock Road,"Dalston Junction, Forest Road","Bromley-by-Bow, Tesco, Hancock Road",14.8,15.5,14.7,0,14.9,10.11,6.28
49,regular,S,Shepherd's Bush,First,,White City,Clapham Junction,White City Bus Station,Bolingbroke Grove,White City,"Clapham Junction, Bolingbroke Grove",10,10.5,10.1,0,10.5,10.166,6.32
490,regular,TF,Fulwell (Twickenham),Transport UK,,Heathrow Terminal 5,"Richmond, Pools on the Park",,Pools on the Park,Heathrow Terminal 5,"Richmond, Pools on the Park",11.7,11.4,11.5,30,11.9,21.992,13.67
491,regular,PB,Potters Bar,Metroline,,North Middlesex Hospital,Waltham Cross,,Waltham Cross Bus Station,North Middlesex Hospital,Waltham Cross,19.4,21.4,19.7,0,19.8,16.31,10.13
492,regular,DT,Dartford,Arriva,,Bluewater,Sidcup Station,Bluewater Shopping Centre,,Bluewater,Sidcup Station,29.8,29.6,29.4,0,29.8,22.698,14.1
493,regular,BC,Beddington,Transport UK,,"Richmond, Manor Circus","Tooting, St. George's Hospital",Richmond Bus Station,St George's / University of London,"Richmond, Manor Circus, Richmond Bus Station","Tooting, St. George's Hospital, St George's / University of London",14.9,15.5,14.5,0,14.6,20.573,12.78
496,regular,RM,Rainham,Stagecoach London,,"Romford, Queen's Hospital",Harold Wood Station,Queen's Hospital,,"Romford, Queen's Hospital",Harold Wood Station,16.1,17.7,16.9,0,16.9,12.833,7.97
498,regular,NS,Romford,Stagecoach London,,Brentwood,"Romford, Queen's Hospital",Brentwood Sainsbury's,Queen's Hospital,Brentwood,"Romford, Queen's Hospital",0,0,0,0,22.1,11.873,7.38
499,regular,RM,Rainham,Stagecoach London,,Heath Park Estate,"Gallows Corner, Tesco",Stansgate Road Shops,,"Heath Park Estate, Stansgate Road Shops","Gallows Corner, Tesco",0,0,0,0,22.3,17.625,10.95
5,regular,DS,Henley Road,Go-Ahead,,Canning Town,Romford Market,Canning Town Station,,Canning Town,Romford Market,6.5,6.9,6.6,8,6.8,17.504,10.88
50,regular,BN,Brixton Hill,Arriva,,Stockwell,Croydon Town Centre,Clapham Road / Stockwell Station,Fairfield Halls,Stockwell,"Croydon Town Centre, Fairfield Halls",13.5,13.5,13.5,0,13.6,14.889,9.25
51,regular,MG,Morden Wharf (Greenwich),Go-Ahead,,Orpington Station,Woolwich,,Beresford Sq / Woolwich Arsenal Stn,Orpington Station,Woolwich,12.8,12.9,12.8,15,12.6,19.836,12.33
52,twentyfour,AC,Willesden,Metroline,,"Willesden, Bus Garage",Victoria,Pound Lane,Victoria Bus Station,"Willesden, Bus Garage, Pound Lane",Victoria,9.8,10.4,11,28.5,10.7,11.149,6.93
53,twentyfour,PD,Plumstead,Stagecoach London,,"Lambeth North, Lower Marsh",Plumstead Station,Lower Marsh,Griffin Road / Plumstead Station,"Lambeth North, Lower Marsh",Plumstead Station,7.7,8.3,7.9,10,8,18.661,11.6
533,regular,SW,Stockwell,Go-Ahead,,"Castelnau, Lonsdale Road",Hammersmith,Lonsdale Road,Hammersmith Bus Station,"Castelnau, Lonsdale Road",Hammersmith,14.9,16,15,0,14.8,9.286,5.77
54,regular,TL,Catford,Stagecoach London,,Woolwich,Elmers End,Plumstead Road / Burrage Road,Elmers End Interchange,"Woolwich, Plumstead Road / Burrage Road",Elmers End,10.2,10.1,9.8,0,11.9,17.209,10.69
55,regular,T,Leyton,Stagecoach London,,Oxford Circus,Walthamstow Central,Great Titchfield St / Oxford Circus Stn,Walthamstow Bus Station,Oxford Circus,"Walthamstow Central, Walthamstow Bus Station",8.9,9.3,8.8,30,9,14.539,9.03
56,regular,T,Leyton,Stagecoach London,,"Smithfield, St Bartholomew's Hospital",Whipps Cross,St. Bartholomew's Hospital,Whipps Cross Bus Stand,"Smithfield, St Bartholomew's Hospital",Whipps Cross,11.5,12.4,10.9,21,11,12.995,8.07
57,twentyfour,AL,Merton,Go-Ahead,,Clapham Park,Kingston,Atkins Road / New Park Road,Fairfield Bus Station,"Clapham Park, Atkins Road / New Park Road","Kingston, Fairfield Bus Station",12.3,13.6,12.6,23,12.7,18.666,11.6
