route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
652,school,RR,River Road,Go-Ahead,,Upminster,"Rainham, Abbey Wood Lane",Upminster Station,Abbey Wood Lane,Upminster,"Rainham, Abbey Wood Lane",4,0,0,0,0,12.12,7.53
653,school,UB,Hatfield,Uno,,"Kingsbury, The Mall",Muswell Hill,Jewish Free School,,"Kingsbury, The Mall, Jewish Free School",Muswell Hill,0,0,0,0,0,12.5,7.77
655,school,BC,Beddington,Transport UK,,Raynes Park High School,Mitcham,,Love Lane,Raynes Park High School,"Mitcham, Love Lane",0,0,0,0,0,6.632,4.12
656,school,RR,River Road,Go-Ahead,,"Gallows Corner, Tesco",Emerson Park School,,Emerson Park Academy,"Gallows Corner, Tesco","Emerson Park School, Emerson Park Academy",0,0,0,0,0,8.924,5.55
657,school,T,Leyton,Stagecoach London,,Bancroft's School,"Crooked Billet, Sainsbury's",,Salisbury Hall Sainsbury's,Bancroft's School,"Crooked Billet, Sainsbury's, Salisbury Hall Sainsbury's",0,0,0,0,0,6.698,4.16
658,school,MG,Morden Wharf (Greenwich),Go-Ahead,,Woolwich,Crown Woods School,Beresford Sq / Woolwich Arsenal Stn,Bexley Road / Reinickendorf Avenue,Woolwich,"Crown Woods School, Bexley Road / Reinickendorf Avenue",1,0,0,0,60,9.498,5.9
66,regular,GY,Grays,Arriva,,Leytonstone,Romford Station,Leytonstone Station,,Leytonstone,Romford Station,0,0,0,0,12.1,15.166,9.42
660,school,TL,Catford,Stagecoach London,,Crown Woods School,"Bellingham, Catford Bus Garage",Leigh Stationers' Academy,Catford Garage,"Crown Woods School, Leigh Stationers' Academy","Bellingham, Catford Bus Garage, Catford Garage",0,0,0,0,0,9.219,5.73
661,school,TL,Catford,Stagecoach London,,"Chislehurst, War Memorial",Petts Wood,Centre Common Road / War Memorial,Station Square / Petts Wood Station,"Chislehurst, War Memorial, Centre Common Road / War Memorial",Petts Wood,0,0,0,0,0,7.249,4.5
662,school,TV,Tolworth,First,,Holy Cross School,Surbiton,Sandal Road / Holy Cross School,Claremont Road / Surbiton Station,Holy Cross School,Surbiton,0,0,0,0,0,6.317,3.93
663,school,TH,Thornton Heath,Arriva,,"Purley, Harris Academy",Thornton Heath Station,Regina Coeli School,,"Purley, Harris Academy, Regina Coeli School",Thornton Heath Station,0,0,0,0,0,6.578,4.09
664,school,MB,Orpington,Go-Ahead,,"New Addington, Homestead Way",Charles Darwin School,Homestead Way / Milne Park,,"New Addington, Homestead Way, Homestead Way / Milne Park",Charles Darwin School,0,0,0,0,0,19.881,12.35
665,school,TV,Tolworth,First,,Holy Cross School,Surbiton,Sandal Road / Holy Cross School,Howard Road,Holy Cross School,"Surbiton, Howard Road",0,0,0,0,0,7.576,4.71
667,school,WH,West Ham,Stagecoach London,,West Hatch School,Ilford,Club House,Hainault Street,"West Hatch School, Club House","Ilford, Hainault Street",2.5,0,0,0,0,9.445,5.87
669,school,PD,Plumstead,Stagecoach London,,Cleeve Park School,Thamesmead,Bexley Lane / Cleeve Park School,Thamesmead Town Centre,Cleeve Park School,Thamesmead,0,0,0,0,0,18.56,11.53
67,regular,SF,Stamford Hill,Arriva,,"Dalston, Forest Road",Wood Green,Forest Road,Wood Green Station,"Dalston, Forest Road",Wood Green,11.9,12,11.6,15,11.9,8.131,5.05
670,school,QB,Battersea,Transport UK,,St John Bosco College,"Roehampton, Danebury Avenue",,Minstead Gardens,St John Bosco College,"Roehampton, Danebury Avenue, Minstead Gardens",0,0,0,0,0,9.314,5.79
671,school,TF,Fulwell (Twickenham),Transport UK,,Chessington South,Tiffin Girls School,Chessington South Station,,Chessington South,Tiffin Girls School,0,0,0,0,0,10.913,6.78
672,school,PD,Plumstead,Stagecoach London,,Woolwich,,Beresford Sq / Woolwich Arsenal Stn,,Woolwich,,0,0,6.7,0,0,4.718,2.93
674,school,RM,Rainham,Stagecoach London,,Romford Station,"Harold Hill, Dagnam Park Square",,Dagnam Park Square,Romford Station,"Harold Hill, Dagnam Park Square",0,0,0,0,0,8.452,5.25
675,school,AD,Palmers Green,Arriva,,Woodbridge School,St James's Street,Broadmead Road,Selborne Walk,"Woodbridge School, Broadmead Road","St James's Street, Selborne Walk",0,0,0,0,0,12.663,7.87
677,school,NP,Northumberland Park,Go-Ahead,,Debden,Ilford,The Broadway,Hainault Street,"Debden, The Broadway","Ilford, Hainault Street",0,0,0,0,0,20.836,12.95
678,school,,,,,Beckton Station,Stratford,Beckton Bus Station,Stratford Bus Station,"Beckton Station, Beckton Bus Station",Stratford,0,0,0,0,0,8.136,5.06
679,school,RR,River Road,Go-Ahead,,Goodmayes,Woodford Wells,Goodmayes Lane,St Thomas of Canterbury Church,Goodmayes,"Woodford Wells, St Thomas of Canterbury Church",0,0,0,0,0,23.577,14.65
68,regular,WL,Walworth,Transport UK,,Euston,West Norwood,Euston Bus Station,Ernest Avenue,Euston,"West Norwood, Ernest Avenue",8.8,8.5,9.7,0,9.9,12.341,7.67
681,school,FW,Fulwell,First,,Teddington School,"Hounslow, Bus Station",Broom Road / Teddington School,,Teddington School,"Hounslow, Bus Station",0,0,0,0,0,11.006,6.84
683,school,UB,Hatfield,Uno,,"Kingsbury, The Mall",Friern Barnet,Jewish Free School,Colney Hatch Lane,"Kingsbury, The Mall, Jewish Free School","Friern Barnet, Colney Hatch Lane",3.5,0,0,0,0,11.92,7.41
684,school,TB,Bromley,Stagecoach London,,Charles Darwin School,Orpington Station,,,Charles Darwin School,Orpington Station,0,0,0,0,0,15.089,9.38
685,school,TC,Croydon,Arriva,,Selsdon,,Farley Road,,"Selsdon, Farley Road",,0,0,0,0,0,3.545,2.2
686,school,RR,River Road,Go-Ahead,,"Harold Hill, Dagnam Park Square",St Edward's School,Stratton Road,,"Harold Hill, Dagnam Park Square, Stratton Road",St Edward's School,0,7,0,0,0,11.749,7.3
687,school,RR,River Road,Go-Ahead,,Barking Station,Dagenham Park School,,Ridgewell Close,Barking Station,"Dagenham Park School, Ridgewell Close",0,0,0,0,0,7.75,4.82
688,school,UB,Hatfield,Uno,,"Kingsbury, The Mall",Southgate,Jewish Free School,Southgate Station,"Kingsbury, The Mall, Jewish Free School",Southgate,0,0,0,0,0,19.763,12.28
689,school,TH,Thornton Heath,Arriva,,Monks Orchard,West Croydon,Glade Gardens,West Croydon Bus Station,"Monks Orchard, Glade Gardens",West Croydon,0,0,0,0,0,6.998,4.35
69,twentyfour,DS,Henley Road,Go-Ahead,,Canning Town,Walthamstow Central,Canning Town Station,Walthamstow Bus Station,Canning Town,"Walthamstow Central, Walthamstow Bus Station",7.8,8.1,7.9,21.8,7.9,10.479,6.51
690,school,SW,Stockwell,Go-Ahead,,Burntwood School,West Norwood,,Norwood Bus Garage,Burntwood School,"West Norwood, Norwood Bus Garage",1,0,0,0,0,10.472,6.51
695,school,AV,Hounslow,First,,Douay Martyrs School,West Drayton,Swakeleys Drive,Cherry Lane School,"Douay Martyrs School, Swakeleys Drive","West Drayton, Cherry Lane School",0,0,0,0,0,9.157,5.69
696,school,AV,Hounslow,First,,Bishop Ramsey School,"Hayes, Bourne Avenue",Highgrove Pool & Fitness Centre,Conway Drive,"Bishop Ramsey School, Highgrove Pool & Fitness Centre","Hayes, Bourne Avenue, Conway Drive",0,0,0,0,0,20.226,12.57
697,school,UX,Uxbridge Industrial Estate,Metroline,,Douay Martyrs School,"Hayes End, Lansbury Drive",Swakeleys Drive,Balmoral Drive,"Douay Martyrs School, Swakeleys Drive","Hayes End, Lansbury Drive, Balmoral Drive",0,0,0,0,0,11.061,6.87
698,school,AV,Hounslow,First,,Douay Martyrs School,"Hayes, Bourne Avenue",Swakeleys Drive,Conway Drive,"Douay Martyrs School, Swakeleys Drive","Hayes, Bourne Avenue, Conway Drive",0,0,0,0,0,11.261,7
699,school,UB,Hatfield,Uno,,Dame Alice Owen's School,Winchmore Hill,,Green Dragon Lane,Dame Alice Owen's School,"Winchmore Hill, Green Dragon Lane",0,0,0,0,0,24.869,15.45
7,regular,PV,Perivale [East],Metroline,,Oxford Circus,East Acton,Oxford Circus Station / John Lewis,Brunel Road,Oxford Circus,"East Acton, Brunel Road",12.2,13.2,12.7,0,12.9,9.99,6.21
70,regular,S,Shepherd's Bush,First,,South Kensington,"Chiswick, Business Park",Queensberry Place,,"South Kensington, Queensberry Place","Chiswick, Business Park",11.2,12.1,11.9,0,11.8,14.847,9.23
71,regular,FW,Fulwell,First,,Kingston,Chessington,Cromwell Road Bus Station,Chessington World of Adventures,"Kingston, Cromwell Road Bus Station",Chessington,0,0,0,0,8.1,9.956,6.19
72,twentyfour,S,Shepherd's Bush,First,,"Hammersmith Bridge, North Side",East Acton,Hammersmith Bridge Road,Brunel Road,"Hammersmith Bridge, North Side, Hammersmith Bridge Road","East Acton, Brunel Road",10,10,10,0,10,7.129,4.43
73,regular,CT,Clapton,Arriva,,Stoke Newington,Oxford Circus,Stoke Newington Common,Great Titchfield St / Oxford Circus Stn,Stoke Newington,Oxford Circus,6.4,6.6,6.5,0,6.5,9.509,5.91
74,regular,AF,Putney,Go-Ahead,,Baker Street Station,"Putney, High Street",,Putney Exchange,Baker Street Station,"Putney, High Street, Putney Exchange",10.5,11.1,10.9,0,10.8,12.006,7.46
75,regular,TL,Catford,Stagecoach London,,Croydon Town Centre,"Lewisham, Shopping Centre",Fairfield Halls,Lewisham Station,"Croydon Town Centre, Fairfield Halls","Lewisham, Shopping Centre, Lewisham Station",12.9,13.1,13.1,30,13,14.003,8.7
76,twentyfour,SF,Stamford Hill,Arriva,,"Waterloo, County Hall",Tottenham Hale,Lower Marsh,Tottenham Hale Bus Station,"Waterloo, County Hall, Lower Marsh",Tottenham Hale,8.8,10,10,30,10,14.621,9.09
77,regular,SW,Stockwell,Go-Ahead,,Tooting Station,Waterloo,,Waterloo Station / Upper Taxi Road,Tooting Station,Waterloo,9.7,10.1,9.8,0,9.9,13.573,8.43
78,regular,PM,Peckham,Go-Ahead,,Nunhead,Shoreditch,St Mary's Road,Curtain Road,"Nunhead, St Mary's Road","Shoreditch, Curtain Road",9.8,10.2,9.9,0,9.9,10.523,6.54
79,regular,BT,Edgware,First,,Edgware,Stonebridge Park,Edgware Station,Stonebridge Park Station,Edgware,Stonebridge Park,12,12,12,0,12.1,13.231,8.22
8,regular,BW,Bow,Stagecoach London,,Tottenham Court Road,Bow Church,St Giles High Street,Bow Bus Garage,"Tottenham Court Road, St Giles High Street","Bow Church, Bow Bus Garage",7.1,7.6,7.5,0,7.5,10.017,6.22
80,regular,A,Sutton,Go-Ahead,,"Hackbridge, Reynolds Close","Belmont, High Down & Downview",Reynolds Close,Downview and Highdown Prisons,"Hackbridge, Reynolds Close","Belmont, High Down & Downview, Downview and Highdown Prisons",9.3,10,8.9,0,8.9,14.307,8.89
81,regular,SG,Lampton,Metroline,,Hounslow Bus Station,"Slough, Bus Station",,Queensmere Shopping Centre,Hounslow Bus Station,"Slough, Bus Station, Queensmere Shopping Centre",0,0,0,0,12.1,19.272,11.98
83,regular,AO,Athlon Road,Metroline,,"Alperton, Sainsbury's",Golders Green,Glacier Way,Golders Green Station,"Alperton, Sainsbury's, Glacier Way",Golders Green,0,0,0,0,8.1,13.17,8.18
85,twentyfour,TV,Tolworth,First,,Kingston,Putney Bridge,Kingston Hall Road,Putney Bridge Station,Kingston,Putney Bridge,10,10,10,22.2,10,11.361,7.06
86,regular,HO,Lea Interchange,Stagecoach London,,Romford Station,Stratford,,Stratford Bus Station,Romford Station,Stratford,5.8,6,5.9,0,6,15.764,9.8
87,regular,SW,Stockwell,Go-Ahead,,Aldwych,,Aldwych / Drury Lane,,Aldwych,,7.4,7.5,7.5,0,7.5,10.586,6.58
88,twentyfour,SW,Stockwell,Go-Ahead,,Parliament Hill Fields,Clapham Common,,,Parliament Hill Fields,Clapham Common,9,10.1,10,25.8,9.8,14.896,9.26
89,regular,BX,Bexleyheath,Go-Ahead,,Lewisham,Slade Green,,,Lewisham,Slade Green,11.8,12.1,11.8,0,11.8,18.01,11.19
9,regular,AH,Brentford,Metroline,,Aldwych,Hammersmith,,,Aldwych,Hammersmith,9.8,10.1,9.9,0,9.8,8.89,5.52
90,regular,PV,Perivale [East],Metroline,,Feltham,Northolt,,,Feltham,Northolt,0,0,0,0,10.8,18.566,11.54
91,regular,NP,Northumberland Park,Go-Ahead,,Trafalgar Square,Crouch End,,,Trafalgar Square,Crouch End,10.2,10.8,10.8,0,10.7,10.217,6.35
92,regular,G,Greenford,Metroline,,Ealing Hospital,Brent Park,,,Ealing Hospital,Brent Park,0,0,0,0,11.6,15.503,9.63
93,twentyfour,A,Sutton,Go-Ahead,,Putney,North Cheam,,,Putney,North Cheam,7.5,7.8,7.1,28,7.5,14.949,9.29
94,twentyfour,S,Shepherd's Bush,First,,Piccadilly Circus,Acton Green,,,Piccadilly Circus,Acton Green,8.6,8.6,8.6,30,8.6,10.542,6.55
95,regular,G,Greenford,Metroline,,Shepherd's Bush,Southall,,,Shepherd's Bush,Southall,13.5,14.4,14,0,14.1,16.024,9.96
96,regular,DT,Dartford,Arriva,,Woolwich,Bluewater,,,Woolwich,Bluewater,0,0,0,0,7.9,19.849,12.33
969,regular,GW,Southall,Transport UK,,Roehampton Vale,Whitton,Asda,Gladstone Avenue,"Roehampton Vale, Asda","Whitton, Gladstone Avenue",0,0,0,0,0,19.33,12.01
97,regular,HO,Lea Interchange,Stagecoach London,,Stratford City,Chingford,,,Stratford City,Chingford,7.9,8.2,7.9,0,8.1,26.532,16.49
98,regular,AC,Willesden,Metroline,,Holborn,Willesden,,,Holborn,Willesden,7.9,9.6,8.4,0,8.5,10.449,6.49
99,regular,BX,Bexleyheath,Go-Ahead,,Woolwich,Bexleyheath,,,Woolwich,Bexleyheath,12.3,13.2,12.7,0,12.8,18.589,11.55
A10,prefix,UX,Uxbridge Industrial Estate,Metroline,,Heathrow Airport Central,Uxbridge,,,Heathrow Airport Central,Uxbridge,20.3,20.4,19.9,20,20,12.787,7.95
B11,prefix,BX,Bexleyheath,Go-Ahead,,"South Thamesmead, Yarnton Way","Bexleyheath, Bus Garage",St Andrew's Parish Church,,"South Thamesmead, Yarnton Way, St Andrew's Parish Church","Bexleyheath, Bus Garage",14.9,15,14.6,0,14.9,11.965,7.43
B12,prefix,BX,Bexleyheath,Go-Ahead,,Joyden's Wood,Erith,St Mary's Road,Erith Town Centre / Riverside,"Joyden's Wood, St Mary's Road",Erith,17.7,20.9,18.5,0,19.7,35.638,22.14
B13,prefix,BX,Bexleyheath,Go-Ahead,,New Eltham,"Bexleyheath, Shopping Centre",New Eltham Station / Southwood Road,Bexleyheath Library,New Eltham,"Bexleyheath, Shopping Centre, Bexleyheath Library",19.4,20.9,19.6,0,19.9,10.15,6.31
B14,prefix,TB,Bromley,Stagecoach London,,Orpington Station,"Bexleyheath, Shopping Centre",,Bexleyheath Library,Orpington Station,"Bexleyheath, Shopping Centre, Bexleyheath Library",0,0,0,0,29.5,22.876,14.21
B15,prefix,BX,Bexleyheath,Go-Ahead,,Horn Park,"Bexleyheath, Shopping Centre",Horncastle Road,Friswell Place,"Horn Park, Horncastle Road","Bexleyheath, Shopping Centre, Friswell Place",19.1,20.9,19.2,0,19.5,12.54,7.79
B16,prefix,BX,Bexleyheath,Go-Ahead,,Kidbrooke,"Bexleyheath, Bus Garage",Wingfield School,,"Kidbrooke, Wingfield School","Bexleyheath, Bus Garage",14.6,15.1,14.7,0,15,29.341,18.23
BL1,prefix,RA,Waterloo,Go-Ahead,,Waterloo,"Lewisham, Shopping Centre",Waterloo Station / Waterloo Road,Molesworth Street,Waterloo,"Lewisham, Shopping Centre, Molesworth Street",11.9,12,12,0,11.9,9.483,5.89
C1,prefix,S,Shepherd's Bush,First,,White City,Victoria,White City Bus Station,Victoria Station,White City,Victoria,12.1,12.2,11.7,0,12,10.039,6.24
C10,prefix,WL,Walworth,Transport UK,,Victoria,Canada Water,Victoria Station,Canada Water Bus Station,Victoria,Canada Water,7.6,8,8,0,8,14.931,9.28
C11,prefix,HT,Holloway,Metroline,,"Brent Cross, Shopping Centre",Archway Station,,,"Brent Cross, Shopping Centre",Archway Station,0,0,0,0,10.9,13.627,8.47
C3,prefix,QB,Battersea,Transport UK,,"Earl's Court, Tesco","Fulham, Sands End",Warwick Road Tesco,Clapham Junction Stn / the Falcon,"Earl's Court, Tesco, Warwick Road Tesco","Fulham, Sands End, Clapham Junction Stn / the Falcon",10.5,11,10.5,0,10.9,6.556,4.07
D3,prefix,DS,Henley Road,Go-Ahead,,"Leamouth, London City Island","Bethnal Green, Bonner Road",Leamouth / Orchard Place,Bonner Road,"Leamouth, London City Island, Leamouth / Orchard Place","Bethnal Green, Bonner Road",16.4,17.3,16.3,0,16.6,10.542,6.55
D6,prefix,HK,Ash Grove,Stagecoach London,,Crossharbour,Ash Grove,Isle of Dogs Asda,Mare Street / Victoria Park Road,"Crossharbour, Isle of Dogs Asda","Ash Grove, Mare Street / Victoria Park Road",9.4,9.5,9.6,0,9.6,8.129,5.05
D7,prefix,HK,Ash Grove,Stagecoach London,,Mile End,"Poplar, All Saints",Mile End Station,Poplar / All Saints Church,Mile End,"Poplar, All Saints",11.5,12,11.9,20,12,9.393,5.84
D8,prefix,HO,Lea Interchange,Stagecoach London,,Crossharbour,Stratford,Isle of Dogs Asda,Stratford Bus Station,"Crossharbour, Isle of Dogs Asda",Stratford,14.8,15.4,14.7,0,14.8,9.345,5.81
E1,prefix,G,Greenford,Metroline,,Ealing Broadway,Greenford Broadway,Haven Green / Ealing Broadway Stn,Clifton Road,Ealing Broadway,"Greenford Broadway, Clifton Road",10.3,10,9.9,12,10.1,5.189,3.22
E10,prefix,GW,Southall,Transport UK,,Ealing Broadway,"Northolt, Islip Manor",Haven Green / Ealing Broadway Stn,Islip Manor Road,Ealing Broadway,"Northolt, Islip Manor, Islip Manor Road",16.3,16.5,16.5,0,16.6,11.519,7.16
E11,prefix,GW,Southall,Transport UK,,"Ealing, Warwick Dene",Greenford Broadway,The Common / Warwick Dene,Clifton Road,"Ealing, Warwick Dene, The Common / Warwick Dene","Greenford Broadway, Clifton Road",20,20,20,0,20,8.028,4.99
E2,prefix,AH,Brentford,Metroline,,Greenford Broadway,"Brentford, Commerce Road",Clifton Road,Brentford Bus Depot,"Greenford Broadway, Clifton Road","Brentford, Commerce Road, Brentford Bus Depot",0,0,0,0,9.1,10.699,6.65
E3,prefix,V,Stamford Brook,First,,"Chiswick, Edensor Road",Greenford Broadway,Edensor Road / New Chiswick Pool,Clifton Road,"Chiswick, Edensor Road, Edensor Road / New Chiswick Pool","Greenford Broadway, Clifton Road",8.6,10,8.5,15,8.6,14.975,9.31
E5,prefix,GW,Southall,Transport UK,,"Perivale, Tesco","Southall, Toplocks Estate",,Toplocks Estate / Glade Lane,"Perivale, Tesco","Southall, Toplocks Estate, Toplocks Estate / Glade Lane",11.4,12,11.7,0,12.1,11.481,7.13
E6,prefix,DH,Hayes,Transport UK,,Bulls Bridge,Greenford Broadway,Bulls Bridge Tesco,Greenford Station,Bulls Bridge,"Greenford Broadway, Greenford Station",14.5,16.5,14.4,0,14.5,13.325,8.28
E7,prefix,GW,Southall,Transport UK,,Ealing Broadway,Ruislip,Ealing Broadway Stn / Haven Green,Ruislip Station,Ealing Broadway,Ruislip,13.3,13.8,13.4,0,13.6,28.174,17.51
E8,prefix,AH,Brentford,Metroline,,Ealing Broadway,"Hounslow, Bell Corner",Ealing Broadway Stn / Haven Green,Bell Corner / Hounslow House,Ealing Broadway,"Hounslow, Bell Corner, Bell Corner / Hounslow House",8.7,9.2,8.9,16,9.1,11.77,7.31
E9,prefix,G,Greenford,Metroline,,Ealing Broadway,"Yeading, Barnhill Estate",Haven Green / Ealing Broadway Stn,Welbeck Avenue,Ealing Broadway,"Yeading, Barnhill Estate, Welbeck Avenue",12.8,13,13,0,12.3,10.032,6.23
EL1,prefix,RR,River Road,Go-Ahead,,Barking Riverside,Ilford Station,Northgate Road,Ilford Station / Ilford Hill,"Barking Riverside, Northgate Road",Ilford Station,0,0,0,0,6,9.005,5.6
EL2,prefix,RR,River Road,Go-Ahead,,Dagenham Dock,Becontree Heath,Dagenham Dock Terminus,Becontree Heath Leisure Centre,Dagenham Dock,Becontree Heath,9.9,10.1,9.9,0,10.1,12.061,7.49
EL3,prefix,RR,River Road,Go-Ahead,,Barking Riverside,Little Heath,Northgate Road,Chadwell Heath Lane,"Barking Riverside, Northgate Road","Little Heath, Chadwell Heath Lane",0,0,0,0,12.1,25.89,16.09
G1,prefix,QB,Battersea,Transport UK,,"Battersea, Shaftesbury Estate","Streatham, Green Lane",Shaftesbury Estate / Wickersley Road,Hermitage Lane,"Battersea, Shaftesbury Estate, Shaftesbury Estate / Wickersley Road","Streatham, Green Lane, Hermitage Lane",19.5,20.5,20,0,19.6,18.415,11.44
H10,prefix,SO,Harrow,First,,Harrow,,St Mark's Hospital,,"Harrow, St Mark's Hospital",,9.9,10,9.8,0,10.2,16.986,10.55
H11,prefix,BT,Edgware,First,,Mount Vernon Hospital,Harrow,,Harrow Bus Station,Mount Vernon Hospital,Harrow,14.9,15,14.9,0,15.3,10.821,6.72
H12,prefix,BT,Edgware,First,,South Harrow,Stanmore Station,South Harrow Bus Station,,South Harrow,Stanmore Station,0,0,0,0,10,14.518,9.02
H13,prefix,UX,Uxbridge Industrial Estate,Metroline,,Ruislip Lido,"Northwood Hills, St Vincent's",,St Vincent's Nursing Home,Ruislip Lido,"Northwood Hills, St Vincent's, St Vincent's Nursing Home",0,0,0,0,19.9,12.672,7.87
H14,prefix,BT,Edgware,First,,Northwick Park Hospital,Hatch End,,St Thomas' Drive,Northwick Park Hospital,"Hatch End, St Thomas' Drive",0,0,0,0,10,7.157,4.45
H17,prefix,WJ,Willesden Junction,Metroline,,Wembley Central,Harrow,Wembley Central Station,Harrow Bus Station,Wembley Central,Harrow,13.9,14.3,15.5,0,16.2,7.828,4.86
H18,prefix,SO,Harrow,First,,Harrow,,Harrow Bus Station,,Harrow,,0,0,0,0,20.4,14.027,8.72
H19,prefix,SO,Harrow,First,,Harrow,,Kymberley Road,,"Harrow, Kymberley Road",,20,0,0,0,20,14.444,8.98
H2,prefix,W,Cricklewood,Metroline,,Golders Green,,Golders Green Station,,Golders Green,,11.9,12,12,0,12.1,7.553,4.69
H20,prefix,TF,Fulwell (Twickenham),Transport UK,,"Ivybridge, Tesco","Hounslow Central, Lampton Park",Twickenham Tesco,Civic Street,"Ivybridge, Tesco, Twickenham Tesco","Hounslow Central, Lampton Park, Civic Street",13.8,14,14,0,14.3,7.016,4.36
H22,prefix,AV,Hounslow,First,,West Middlesex Hospital,"Hounslow, Bell Corner",,Bell Corner / Hounslow House,West Middlesex Hospital,"Hounslow, Bell Corner, Bell Corner / Hounslow House",0,0,0,0,12,11.996,7.45
H25,prefix,TF,Fulwell (Twickenham),Transport UK,,Hatton Cross,Butts Farm,Hatton Cross Station,Churchfields Avenue,Hatton Cross,"Butts Farm, Churchfields Avenue",12,12,11.8,20,12.1,12.062,7.49
H26,prefix,TF,Fulwell (Twickenham),Transport UK,,Hatton Cross,"Feltham, Sparrow Farm",Hatton Cross Station,Central Parade,Hatton Cross,"Feltham, Sparrow Farm, Central Parade",19.5,20,19.9,0,20.5,9.167,5.7
H28,prefix,GW,Southall,Transport UK,,"Osterley, Tesco",Bulls Bridge,Tesco Osterley,Bulls Bridge Tesco,"Osterley, Tesco, Tesco Osterley",Bulls Bridge,0,0,0,0,19.7,17.882,11.11
H3,prefix,W,Cricklewood,Metroline,,East Finchley,Golders Green,East Finchley / Hill Top,Golders Green Station,East Finchley,Golders Green,0,0,60,0,60,8.592,5.34
H32,prefix,SG,Lampton,Metroline,,"Southall, Town Hall","Hounslow, Bus Station",,,"Southall, Town Hall","Hounslow, Bus Station",11.6,12.2,11.9,20,11.8,8.557,5.32
H37,prefix,AV,Hounslow,First,,"Richmond, Manor Circus","Hounslow, Blenheim Centre",Manor Road,,"Richmond, Manor Circus, Manor Road","Hounslow, Blenheim Centre",0,0,0,0,7.5,7.958,4.94
H9,prefix,SO,Harrow,First,,Harrow,,St Mark's Hospital,,"Harrow, St Mark's Hospital",,9.5,10,9.9,0,10.2,17.38,10.8
H91,prefix,AH,Brentford,Metroline,,Hammersmith,Hounslow West,Hammersmith Bus Station,Hounslow West Station,Hammersmith,Hounslow West,0,0,0,0,12.4,12.451,7.74
H98,prefix,AV,Hounslow,First,,Hayes End,"Hounslow, Bus Station",Wood End Green Road,,"Hayes End, Wood End Green Road","Hounslow, Bus Station",0,0,0,0,10,13.581,8.44
K1,prefix,TV,Tolworth,First,,Kingston,New Malden Station,Cromwell Road Bus Station,,"Kingston, Cromwell Road Bus Station",New Malden Station,0,0,0,0,11.6,14.187,8.82
K2,prefix,TV,Tolworth,First,,Hook,Kingston Hospital,Hook Parade,,Hook,Kingston Hospital,12,12,12,0,12.1,12.061,7.49
K3,prefix,FW,Fulwell,First,,Esher,Roehampton Vale,Esher High Street,Roehampton Vale / Asda,Esher,Roehampton Vale,0,0,0,0,14.9,39.664,24.65
K4,prefix,TV,Tolworth,First,,Mansfield Park,Kingston Hospital,Ripon Gardens,,"Mansfield Park, Ripon Gardens",Kingston Hospital,29,30,30,0,29.9,11.521,7.16
K5,prefix,TV,Tolworth,First,,Morden,Ham,Morden Station,Beaufort Road,Morden,"Ham, Beaufort Road",35,36.7,35,0,35.3,20.707,12.87
N1,night,Q,Camberwell,Go-Ahead,,Thamesmead,Tottenham Court Road,Titmuss Avenue,,"Thamesmead, Titmuss Avenue",Tottenham Court Road,0,0,0,0,0,56.099,34.86
N102,night,AD,Palmers Green,Arriva,,,,,,,,,,,,,15.467,9.61
N105,night,WK,Hounslow Heath,First,,,,,,,,,,,,,16.122,10.02
N108,night,NX,New Cross,Go-Ahead,,,,,,,,,,,,,17.34,10.77
N109,night,BC,Beddington,Transport UK,,Oxford Circus,Croydon Town Centre,Conduit Street / Hamleys Toy Store,Park Street,"Oxford Circus, Conduit Street / Hamleys Toy Store","Croydon Town Centre, Park Street",0,0,0,0,0,18.263,11.35
N11,night,SW,Stockwell,Go-Ahead,,"Whitehall, Horse Guards",Ealing Broadway,Horse Guards Parade,Ealing Broadway Stn / Haven Green,"Whitehall, Horse Guards, Horse Guards Parade",Ealing Broadway,0,0,0,0,0,21.385,13.29
N111,night,TF,Fulwell (Twickenham),Transport UK,,,,,,,,,,,,,25.719,15.98
N113,night,EW,Edgware,Metroline,,Trafalgar Square,Edgware,Northumberland Avenue / Trafalgar Square,Edgware Station,Trafalgar Square,Edgware,0,0,0,0,0,20.287,12.61
N118,night,X,Westbourne Park,First,,Whitehall / Trafalgar Square,Ruislip Station,,,Whitehall / Trafalgar Square,Ruislip Station,0,0,0,0,0,26.983,16.77
N119,night,C,Croydon,Go-Ahead,,,,,,,,,,,,,17.324,10.76
N12,night,Q,Camberwell,Go-Ahead,,,,,,,,,,,,,12.252,7.61
N123,night,AR,Tottenham,Arriva,,,,,,,,,,,,,18.977,11.79
N128,night,NS,Romford,Stagecoach London,,,,,,,,,,,,,18.621,11.57
N13,night,X,Westbourne Park,First,,,,,,,,,,,,,15.912,9.89
N133,night,QB,Battersea,Transport UK,,Liverpool Street,Mitcham,Liverpool Street Station,Morden Station,Liverpool Street,"Mitcham, Morden Station",0,0,0,0,0,20.527,12.75
N134,night,PB,Potters Bar,Metroline,,,,,,,,,,,,,12.558,7.8
