route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
EL1,twentyfour,RR,River Road,Go-Ahead,DD,Barking Riverside,Ilford Station,Northgate Road,Ilford Station / Ilford Hill,"Barking Riverside, Northgate Road",Ilford Station,,11.0,11.0,11.0,2.0,6.0,8.996,5.59
EL2,regular,RR,River Road,Go-Ahead,DD,Dagenham Dock,Becontree Heath,Dagenham Dock Terminus,Becontree Heath Leisure Centre,Dagenham Dock,Becontree Heath,,6.0,6.0,6.0,0.0,4.0,12.146,7.547
EL3,regular,RR,River Road,Go-Ahead,DD,Barking Riverside,Little Heath,Northgate Road,Chadwell Heath Lane,"Barking Riverside, Northgate Road","Little Heath, Chadwell Heath Lane",,6.5,6.0,6.0,0.0,3.0,13.425,8.342
G1,regular,QB,Battersea,Transport UK,SD,"Battersea, Shaftesbury Estate","Streatham, Green Lane",Shaftesbury Estate / Wickersley Road,Hermitage Lane,"Battersea, Shaftesbury Estate, Shaftesbury Estate / Wickersley Road","Streatham, Green Lane, Hermitage Lane",,3.0,3.0,3.0,0.0,3.0,17.694,10.994
H2,regular,W,Cricklewood,Metroline,SD,Golders Green,,Golders Green Station,,Golders Green,,,5.0,5.0,5.0,0.0,3.0,7.553,4.693
H3,regular,W,Cricklewood,Metroline,SD,East Finchley,Golders Green,East Finchley / Hill Top,Golders Green Station,East Finchley,Golders Green,,0.5,0.0,1.0,0.0,1.0,9.721,6.04
H9,regular,SO,Harrow,First,SD,Harrow,,St Mark's Hospital,,"Harrow, St Mark's Hospital",,,5.5,6.0,6.0,0.0,4.0,17.38,10.8
H10,regular,SO,Harrow,First,SD,Harrow,,St Mark's Hospital,,"Harrow, St Mark's Hospital",,,6.0,6.0,6.0,0.0,4.0,16.986,10.555
H11,regular,BT,Edgware,First,SD,Mount Vernon Hospital,Harrow,,Harrow Bus Station,Mount Vernon Hospital,Harrow,,4.0,4.0,4.0,0.0,3.0,11.045,6.863
H12,regular,BT,Edgware,First,DD,South Harrow,Stanmore Station,South Harrow Bus Station,,South Harrow,Stanmore Station,,6.0,5.0,6.0,0.0,5.0,14.48,8.998
H13,regular,UX,Uxbridge Industrial Estate,Metroline,SD,Ruislip Lido,"Northwood Hills, St Vincent's",,St Vincent's Nursing Home,Ruislip Lido,"Northwood Hills, St Vincent's, St Vincent's Nursing Home",,3.0,3.0,3.0,0.0,3.0,12.624,7.844
H14,regular,BT,Edgware,First,DD,Northwick Park Hospital,Hatch End,,St Thomas' Drive,Northwick Park Hospital,"Hatch End, St Thomas' Drive",,6.0,6.0,6.0,0.0,4.0,6.89,4.281
H17,regular,WJ,Willesden Junction,Metroline,SD,Wembley Central,Harrow,Wembley Central Station,Harrow Bus Station,Wembley Central,Harrow,,4.5,4.0,4.0,0.0,3.5,7.903,4.911
H18,regular,SO,Harrow,First,SD,Harrow,,Harrow Bus Station,,Harrow,,,3.0,3.0,3.0,0.0,2.0,14.027,8.716
H19,regular,SO,Harrow,First,SD,Harrow,,Kymberley Road,,"Harrow, Kymberley Road",,,3.5,3.0,3.0,0.0,2.0,14.444,8.975
H20,regular,TF,Fulwell (Twickenham),Transport UK,SD,"Ivybridge, Tesco","Hounslow Central, Lampton Park",Twickenham Tesco,Civic Street,"Ivybridge, Tesco, Twickenham Tesco","Hounslow Central, Lampton Park, Civic Street",,4.5,4.0,4.5,0.0,3.0,6.861,4.263
H22,regular,AV,Hounslow,First,SD,West Middlesex Hospital,"Hounslow, Bell Corner",,Bell Corner / Hounslow House,West Middlesex Hospital,"Hounslow, Bell Corner, Bell Corner / Hounslow House",,5.0,5.0,5.0,0.0,3.0,12.04,7.481
H25,regular,TF,Fulwell (Twickenham),Transport UK,SD,Hatton Cross,Butts Farm,Hatton Cross Station,Churchfields Avenue,Hatton Cross,"Butts Farm, Churchfields Avenue",,5.0,5.0,5.0,0.0,5.0,12.264,7.621
H26,regular,TF,Fulwell (Twickenham),Transport UK,SD,Hatton Cross,"Feltham, Sparrow Farm",Hatton Cross Station,Central Parade,Hatton Cross,"Feltham, Sparrow Farm, Central Parade",,3.0,3.0,3.0,0.0,2.0,9.128,5.672
H28,regular,GW,Southall,Transport UK,SD,"Osterley, Tesco",Bulls Bridge,Tesco Osterley,Bulls Bridge Tesco,"Osterley, Tesco, Tesco Osterley",Bulls Bridge,,3.5,3.0,3.0,0.0,2.5,17.927,11.14
H32,regular,SG,Lampton,Metroline,DD,"Southall, Town Hall","Hounslow, Bus Station",,,"Southall, Town Hall","Hounslow, Bus Station",,5.0,5.0,5.0,0.0,4.0,8.71,5.412
H37,regular,AV,Hounslow,First,SD,"Richmond, Manor Circus","Hounslow, Blenheim Centre",Manor Road,,"Richmond, Manor Circus, Manor Road","Hounslow, Blenheim Centre",,8.0,8.5,8.0,0.0,6.0,7.972,4.953
H91,regular,AH,Brentford,Metroline,DD,Hammersmith,Hounslow West,Hammersmith Bus Station,Hounslow West Station,Hammersmith,Hounslow West,,5.5,5.5,5.5,0.0,3.5,12.513,7.775
H98,regular,AV,Hounslow,First,DD,Hayes End,"Hounslow, Bus Station",Wood End Green Road,,"Hayes End, Wood End Green Road","Hounslow, Bus Station",,5.5,6.0,5.5,0.0,5.0,13.797,8.573
K1,regular,TV,Tolworth,First,SD,Kingston,New Malden Station,Cromwell Road Bus Station,,"Kingston, Cromwell Road Bus Station",New Malden Station,,5.5,5.5,5.5,0.0,4.0,14.384,8.938
K2,regular,TV,Tolworth,First,SD,Hook,Kingston Hospital,Hook Parade,,Hook,Kingston Hospital,,5.0,5.0,5.0,0.0,4.0,12.087,7.51
K3,regular,FW,Fulwell,First,SD,Esher,Roehampton Vale,Esher High Street,Roehampton Vale / Asda,Esher,Roehampton Vale,,4.5,4.0,4.0,0.0,3.0,20.098,12.489
K4,regular,TV,Tolworth,First,SD,Mansfield Park,Kingston Hospital,Ripon Gardens,,"Mansfield Park, Ripon Gardens",Kingston Hospital,,2.0,2.0,2.0,0.0,2.0,11.452,7.116
K5,regular,TV,Tolworth,First,SD,Morden,Ham,Morden Station,Beaufort Road,Morden,"Ham, Beaufort Road",,1.5,1.5,1.5,0.0,1.5,20.373,12.659
P4,regular,NX,New Cross,Go-Ahead,SD,Brixton,"Lewisham, Shopping Centre",Brixton Station,Lewisham Station,Brixton,"Lewisham, Shopping Centre, Lewisham Station",,5.0,5.0,5.0,0.0,5.0,12.207,7.585
P5,regular,WL,Walworth,Transport UK,SD,Patmore Estate,Elephant & Castle,Patmore Estate / Drury House,Elephant & Castle / Newington Causeway,Patmore Estate,Elephant & Castle,,4.0,4.0,4.0,0.0,3.0,11.049,6.866
P12,regular,PM,Peckham,Go-Ahead,SD,Brockley Rise,Surrey Quays,Brockley Rise / Chandos,Surrey Quays Shopping Centre,Brockley Rise,Surrey Quays,,4.0,4.0,4.0,0.0,4.0,14.261,8.862
